0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,0,55417,46810,71147,28606,94261,30723,21106,69001,18179,69781,47339,50017,21037,36787,55168,69639,49765,100130,53868,74060,37089,10824,78257,21169,27320,99653,20896,90729,15909,30057,68203,7060,32440,43771,46566,61102,47222,8397,52815,31488,29504,39771,69810,9452,18755,39793,42653,56485,28355,64510,84826,17583,78188,44750,16050,105103,41310,57642,23682,58914,59779,12795,83342,53888,49781
1,55417,0,16700,125898,45279,45272,27242,34684,14707,48207,18914,23387,47707,62628,19990,108412,26304,5713,46258,11770,129477,31965,49242,22950,56189,28646,44657,71499,39867,40296,51376,16789,56847,23740,55342,12441,7414,20765,62948,17522,37771,28278,26087,14504,46773,40699,21676,16332,25007,49436,26927,34665,54396,23781,10863,59382,54655,17151,9250,41077,13675,45484,43382,29267,3202,29230
2,46810,16700,0,117878,30173,47529,26470,26043,30608,35317,23464,32896,31157,59202,11213,101810,23239,14630,53975,7839,119783,15930,38360,34823,42436,20107,58348,65743,43938,30903,52238,33451,46356,15383,38722,5119,17844,4401,55053,6321,22507,17305,31610,27153,37416,29194,7220,22153,38069,34301,19412,38024,51046,39032,11173,46836,58305,6473,12570,27569,29304,30433,36844,37758,13544,13383
3,71147,125898,117878,0,94192,165135,99348,92226,138596,84825,140928,112743,113495,66224,107908,19924,140384,120186,171230,125015,14830,106491,79889,148849,81094,98428,169068,55156,161816,87032,82691,136789,71950,103539,102809,117697,131992,117968,63129,123762,99842,100595,105502,140399,80473,89006,110773,111494,120895,91662,134838,155900,73475,147537,115522,74414,176068,112458,128753,92363,126972,125093,82541,154374,124666,119178
4,28606,45279,30173,94192,0,73090,34315,20625,59932,10501,52696,50556,21421,48462,26307,80899,48640,40997,82601,37948,93715,14577,17826,64979,13539,22025,88515,49373,71045,19128,51044,61663,23992,24339,16896,33046,47938,27994,36319,34156,7665,19152,44880,57291,21278,13430,23728,40836,58882,4162,42259,65198,42443,68774,35366,19791,84184,28139,42739,7455,54930,31731,27496,67244,42508,25922
5,94261,45272,47529,165135,73090,0,71120,73567,41696,80981,26491,68019,60516,105957,58262,149334,24784,50143,16945,41134,166243,59235,85271,29460,86587,67556,39397,113189,6685,78380,96353,47489,93248,62634,72747,48728,37859,47166,102551,41446,66256,64794,71360,34115,84826,76131,54468,61475,66759,76613,30835,10625,97686,39796,52762,92231,11093,53466,38560,73194,54006,49903,84244,20356,44748,47175
6,30723,27242,26470,99348,34315,71120,0,14479,39247,30996,44788,17598,48694,35396,15890,81424,48536,21640,73490,30511,103898,29026,28212,49943,39421,12640,69787,44495,66318,19039,25862,37772,34225,13293,50161,23204,34140,29538,37212,32518,29681,16704,10796,41597,23969,22851,22601,12194,26723,37598,45731,60752,27154,48237,18366,39716,81152,20091,32559,27174,28264,53034,17935,56485,26769,36933
7,21106,34684,26043,92226,20625,73567,14479,0,48757,16554,48712,31867,38132,34227,15684,75804,49191,29151,79025,32836,95000,20071,14929,57339,25030,6215,79255,39757,69798,5638,31910,48679,22211,11335,37221,25470,40068,27073,29154,32229,17751,9023,25275,48921,12104,8371,19344,24059,40827,23508,44596,63921,26519,57994,23873,26034,84296,20271,36538,13207,40092,45002,11122,62242,32945,31493
8,69001,14707,30608,138596,59932,41696,39247,48757,0,62837,20024,29063,60665,73826,34612,120533,30889,19733,37419,23925,142893,46344,63535,13052,70875,42904,30660,83653,35267,54396,60524,5954,70966,38168,69254,26929,13720,34208,76157,29570,52380,42879,34653,8359,60734,55199,36246,27123,25575,64092,34489,31613,65820,9236,25343,73920,48950,31840,19410,55774,13495,56606,56562,21984,17434,41792
9,18179,48207,35317,84825,10501,80981,30996,16554,62837,0,58715,48417,31912,38485,28227,70843,56231,43174,89140,43096,85262,21796,7562,69654,8517,20759,92638,38879,78337,12482,42962,63609,13603,24865,25968,36898,52215,34270,25818,40405,15016,19961,41774,61525,11887,8281,28172,40147,57338,10385,50292,72417,33063,71983,37507,11520,92041,31512,47601,7840,55699,42107,19363,73075,45855,34373
10,69781,18914,23464,140928,52696,26491,44788,48712,20024,58715,0,42097,46863,79911,33049,124340,11137,23652,30521,15942,143181,38120,61763,14780,65543,42528,37893,87755,21549,53922,69868,25795,69742,37441,57496,23262,11533,24736,77860,18547,45163,40451,44956,11810,60510,52619,30681,34999,42159,56683,16209,15986,71626,23785,26517,70233,36370,28472,12390,50917,29443,40074,58896,14551,18258,28861
11,47339,23387,32896,112743,50556,68019,17598,31867,29063,48417,42097,0,61470,46689,26556,93880,49495,20183,66300,32708,118641,42100,45791,41784,56897,28590,57509,57664,62188,36634,31897,25367,51515,26687,65242,27949,30594,37130,52836,37198,44782,31594,7601,34552,41412,40177,32804,10997,9196,54177,49123,57407,39281,36681,21734,57306,76690,28309,32117,43860,15656,63071,34685,50050,25047,45970
12,50017,47707,31157,113495,21421,60516,48694,38132,60665,31912,46863,61470,0,69494,34946,101428,38836,45633,73272,36770,111487,19733,39212,61304,32763,36401,84753,70792,60263,38771,70024,64238,45264,35733,12384,36037,47019,26947,57715,31103,20461,32061,57776,55338,42268,33319,28779,50541,68150,22523,31954,54972,62972,68138,41175,39781,71275,33583,41283,27194,60420,11928,47417,60569,44508,18889
13,21037,62628,59202,66224,48462,105957,35396,34227,73826,38485,79911,46689,69494,0,48037,47191,82367,57035,108884,64857,73228,53813,30926,85171,42205,39374,103761,12175,101455,31360,17149,71353,27832,43824,64428,57272,69512,60937,17164,65522,49642,43140,39678,76902,27242,36352,53152,46917,54678,48863,78385,95777,8285,82418,53401,36713,116251,52864,67550,42329,61444,78176,23176,91881,62115,65700
14,36787,19990,11213,107908,26307,58262,15890,15684,34612,28227,33049,26556,34946,48037,0,91339,34333,15016,63343,17244,110554,15593,29527,42021,36303,9482,64557,54943,54256,21038,41306,35648,37328,4400,39182,9790,24601,13728,44814,17524,19354,8288,23134,33692,27639,20764,6835,15736,33766,30369,30594,48414,39856,43758,9318,39402,68857,4831,20855,21275,28626,37675,25997,46589,17779,21146
15,55168,108412,101810,19924,80899,149334,81424,75804,120533,70843,124340,93880,101428,47191,91339,0,124784,102708,154294,108579,31199,91862,64945,131300,68677,81902,150764,36934,145583,70975,63224,118376,57358,86938,91872,101097,114832,102384,46813,107906,85647,84543,86810,122894,64619,73748,94895,93424,101779,78985,119665,139717,54834,129315,98360,61648,160099,96040,112012,77899,108492,112528,65460,137319,107432,104631
16,69639,26304,23239,140384,48640,24784,48536,49191,30889,56231,11137,49495,38836,82367,34333,124784,0,29572,34703,18070,141483,34540,60503,25323,62054,43337,47173,88940,22436,53813,74339,36483,68473,38599,50392,25376,19891,22438,77971,16969,41611,40286,50971,22859,60190,51379,29908,40760,51060,52315,6907,16674,74169,34874,30486,67535,35816,29503,17392,48429,38759,30452,60074,22161,24457,22928
17,49765,5713,14630,120186,40997,50143,21640,29151,19733,43174,23652,20183,45633,57035,15016,102708,29572,0,51859,12571,123819,28456,43836,28663,51314,23203,50105,65801,44991,34781,46231,20686,51352,18435,52240,9604,12554,19015,57253,17500,33680,23217,21543,20218,41209,35469,17965,11409,23814,45121,28944,39606,48786,28949,5700,54195,59822,13072,12237,36288,14824,44840,37677,34850,5406,27947
18,100130,46258,53975,171230,82601,16945,73490,79025,37419,89140,30521,66300,73272,108884,63343,154294,34703,51859,0,46435,173692,68117,92282,24516,95728,72814,24082,117489,13549,84332,97070,42255,100256,67698,85045,53571,39495,54942,108105,48762,75230,70933,71198,32221,90932,83141,61195,62284,62792,86457,41585,18311,100643,31966,55938,100644,15204,58890,42487,81317,50893,63742,88874,17014,46914,57427
19,53868,11770,7839,125015,37948,41134,30511,32836,23925,43096,15942,32708,36770,64857,17244,108579,18070,12571,46435,0,127256,23556,45856,27032,50275,26685,50636,72161,37011,37991,56277,27578,53823,21644,45505,7593,10475,10494,61989,5838,30289,24509,33239,19564,44575,36735,14926,23078,36070,42058,16449,31176,56600,31847,12439,54609,51636,12565,4858,35379,25416,33761,43226,30019,8744,17948
20,74060,129477,119783,14830,93715,166243,103898,95000,142893,85262,143181,118641,111487,73228,110554,31199,141483,123819,173692,127256,0,107035,81425,152303,80225,101192,173548,61348,163460,89522,90261,141667,73438,106296,100045,120232,135067,119326,66743,125345,100089,102771,111173,143862,82930,90589,112572,116083,127221,90690,135528,157529,79632,152018,118794,74116,177298,114852,131324,93054,132046,123341,86330,157108,127917,119421
21,37089,31965,15930,106491,14577,59235,29026,20071,46344,21796,38120,42100,19733,53813,15593,91862,34540,28456,68117,23556,107035,0,26917,50562,27638,17045,74193,57664,56814,22532,51618,48697,34648,16001,23879,19523,33773,13425,45456,19579,7120,12593,38076,43058,27903,18352,10492,31329,49316,18601,28498,50924,46413,54924,23215,33000,70310,15439,28395,14128,43109,24981,30703,52667,28978,12770
22,10824,49242,38360,79889,17826,85271,28212,14929,63535,7562,61763,45791,39212,30926,29527,64945,60503,43836,92282,45856,81425,26917,0,71549,13077,20634,93897,31700,82155,9410,36257,63599,8003,25513,33509,38990,54114,38116,18862,44016,20889,21460,38641,63212,5193,9179,31155,38863,54935,17936,54987,76224,25704,72768,38378,11530,96242,33564,50033,13064,54994,48989,13301,75799,47259,39687
23,78257,22950,34823,148849,64979,29460,49943,57339,13052,69654,14780,41784,61304,85171,42021,131300,25323,28663,24516,27032,152303,50562,71549,0,77134,51187,23737,94370,22841,62889,72736,18402,79328,46131,71483,32768,17468,37266,85875,31411,57318,50166,46817,8455,69441,62690,41648,38282,38620,69090,30963,20149,77009,10812,33509,81088,36006,38188,22254,62094,26429,54852,66327,9191,24394,42856
24,21169,56189,42436,81094,13539,86587,39421,25030,70875,8517,65543,56897,32763,42205,36303,68677,62054,51314,95728,50275,80225,27638,13077,77134,0,29229,100364,40121,84411,20609,49243,71863,14565,33167,23869,44529,59791,40831,27066,47029,20517,28130,50171,69150,18255,16798,35485,48651,65842,10573,55751,78537,38087,79961,45620,7080,97681,39241,54928,15131,64117,44084,26322,80036,53708,39442
25,27320,28646,20107,98428,22025,67556,12640,6215,42904,20759,42528,28590,36401,39374,9482,81902,43337,23203,72814,26685,101192,17045,20634,51187,29229,0,73284,45647,63680,11701,34840,43146,28206,5120,37539,19273,33876,21563,35333,26374,17041,4466,22910,42785,18267,12608,13777,19476,37139,25587,39036,57818,31373,52135,17793,31235,78229,14138,30328,15299,34964,41823,16737,56027,26802,27006
26,99653,44657,58348,169068,88515,39397,69787,79255,30660,92638,37893,57509,84753,103761,64557,150764,47173,50105,24082,50636,173548,74193,93897,23737,100364,73284,0,113999,33754,84887,89389,32408,101458,68397,95167,55835,40618,60966,106807,55147,80849,72832,64118,31246,91294,85316,64967,57603,51160,92648,53551,35347,95935,21551,55520,103942,39218,61153,45803,85249,42317,77539,87220,25208,46802,66510
27,20896,71499,65743,55156,49373,113189,44495,39757,83653,38879,87755,57664,70792,12175,54943,36934,88940,65801,117489,72161,61348,57664,31700,94370,40121,45647,113999,0,109148,35509,29306,81667,25850,50559,63766,64606,77998,66785,13170,71972,52332,48728,50362,85971,29764,39342,59094,56531,66019,48738,84283,103335,18397,92501,61560,33517,123795,59724,75380,44551,71829,80675,28946,100492,70585,70209
28,90729,39867,43938,161816,71045,6685,66318,69798,35267,78337,21549,62188,60263,101455,54256,145583,22436,44991,13549,37011,163460,56814,82155,22841,84411,63680,33754,109148,0,74820,91198,40997,90158,58656,72236,44543,32507,44135,98926,38140,63920,61232,65888,27924,81351,72978,51061,56183,60526,74747,29106,5932,93171,33114,48066,89737,14839,49543,33909,70502,47838,50388,80229,13697,39655,45358
