Cluster ID,Latitude,Longitude,Average Count,Average GDD,Genome Assignment 2015,Genome Assignment 2019,Genome Assignment 2023
0,43.9281120925,-89.826944063125,4.035424983513218,16.587149030255915,,,
1,44.19509899090909,-89.51912400272727,3.6753215175477076,16.30913572546829,,,
2,43.17411803428571,-89.99014199619047,5.1054307871615565,18.305013578294282,,,
3,43.868433753620685,-89.70341890396551,2.6133172029070466,17.060301041958333,,,
4,44.235771329555554,-89.38474210155556,3.2676530869365377,15.811847145753076,,,
5,44.563273157619044,-89.46001228714286,4.995157924340618,16.524871805788845,19,11,15
6,44.055468451290324,-89.6357146332258,3.627320787136361,17.314806284861426,4,3,3
7,44.22624407,-89.83245763,2.1353219696969683,17.339738586702403,,,
8,44.00383801,-89.32143526909091,2.652732494777949,16.827745288479942,,,
9,44.418583933076924,-89.61901895923076,4.91441648018648,16.453214690610853,16,8,13
10,44.35356787692308,-89.17056150615385,2.7407889332889335,17.008040180194133,,,
11,44.12500388,-90.05057421625,3.9207230802431696,16.911128627953154,,,
12,43.741283663125,-89.506255591875,2.6636187961869777,16.325748865514058,,,
13,43.96500944692308,-89.45491665846154,2.2224942197953563,16.63148607345815,,,
14,44.268756320869564,-89.58870356782609,3.819014759112415,16.487929665937248,,14,18
15,43.29169820357142,-89.78568074142856,4.550179518194224,18.06219380802987,2,2,2
16,43.20684139777778,-90.15198116,4.746143279797126,17.29965536596921,0,0,0
17,43.700748953181815,-89.71844426590908,2.939287830225331,17.24317037058373,,,
18,44.060631642692314,-89.801245205,3.384638705558844,16.754973365326556,,,
19,44.34370307666667,-89.32080540952381,2.7971008294483295,16.04127303521186,,,
20,43.926508555789475,-89.65385410421054,3.3160470469510654,16.9668566717032,14,,
21,44.130595175,-89.64593310400001,4.300812645687646,16.606050122352148,8,,8
22,44.26453932857142,-89.19892512333334,2.399966406278906,17.104839219777435,,,
23,43.869130420000005,-89.92770889545454,2.9488956645206645,17.260501680210226,,,
24,44.63984833785714,-89.30210479357143,3.82691896487351,15.85330464762185,,,
25,44.019456057741934,-89.87354720516129,3.290126524359479,16.965951549848963,,,
26,44.532380884,-89.02650859,2.9189078282828294,17.369036315059756,,,
27,44.2707935235,-89.514624502,4.193019868389186,15.460624735898234,22,16,
28,44.20492011818182,-89.38633160363636,3.503196193731642,15.9880841084881,,,
29,44.1183922627027,-89.56122360324323,4.192704486052142,17.05852418618185,13,,
30,44.42152233142857,-89.46657778,4.187133283383282,15.40413038335887,,10,
31,43.823159950909094,-89.77271053181818,2.904160631035631,17.485560688031878,,,
32,43.606124244545455,-89.63818997090908,2.2211959325396826,16.844623835417863,3,,
33,44.297096249166664,-89.94551732333333,3.920368854396632,15.651332662133136,,,
34,44.0671986125,-89.24059911,2.484353146853146,16.335864033313925,,,
35,44.208055763125,-89.6345652440625,4.626732263107262,16.645265850883998,7,,
36,44.26394324058823,-89.47271780941176,3.730922505678603,16.055241856551092,,,
37,43.734337358333335,-89.33398832833332,0.27217592592592593,17.232204422957015,,,
38,44.709997262857144,-89.43150232857144,3.195185704818058,15.726908747607448,,,
39,44.14818178777778,-89.46892977222222,3.351354007940309,16.822567882017704,18,,
40,44.01623340416667,-89.60036405388888,3.310721239740428,17.203084377787345,5,4,4
41,44.184264855833334,-89.94865074833335,4.285464960386836,16.419877529906813,,,
42,44.43018020181818,-89.28170498545454,3.4102330610697544,15.933584228706142,,,
43,44.032249740588234,-89.4295427964706,2.1456973161518618,16.762510814113234,,,
44,44.49262032142857,-89.31737415285714,2.5644273373685134,15.117185851214836,,,
45,43.959231062,-89.73337098266667,3.7613421686338353,15.933458668796034,,,
46,43.756076740434786,-89.71642126391305,3.0471715455597033,17.189140132300558,,,
47,44.154278350333335,-89.59596166966666,4.283123682424277,16.657809381531447,,,
48,43.17026275625,-89.935665436875,3.7331100116814406,18.74290676504649,,,
49,44.28854941909091,-89.40671044,3.3488861559587364,16.096513380723856,,,
50,44.84130986,-89.57621507,1.990033333333335,17.7469519950175,,,
51,44.23385120875,-89.7300430525,3.6262397451033794,16.955865715391273,21,13,17
52,44.22190183828572,-89.42411482057143,3.1761888772070224,16.24535784575931,,,
53,44.6067666,-89.52228990214284,4.575627088685124,15.719673474990097,,,
54,43.87653604151515,-89.76641504666667,2.4738217671785447,17.4929093119618,,,
55,44.10998741461538,-89.78298645153846,3.2770000734559557,17.272045201457363,,,
56,43.920500745,-89.68791250466667,3.2039848085941833,17.163177582963105,15,,12
57,44.36396134588235,-89.65854046235295,4.553521193588158,16.66642917418274,6,7,7
58,44.07554779466667,-89.59326760799999,3.5682725316350314,16.906105119062833,12,,
59,44.388126036,-89.560821861,4.717157148407149,16.6322577499262,17,9,14
60,43.83543658052631,-89.8979685331579,3.2467866305150794,17.827435674609628,,,
61,44.06016792285714,-90.05888740142858,3.524458102661228,17.138301554181343,,,
62,44.200274175714284,-90.00882322357143,4.626688828948828,17.10451816894919,,,
63,44.098590056666666,-89.16721200333335,1.8993589743589743,15.6429283296463,,,
64,44.335289945,-89.45603289642858,3.5578015734265733,15.116928133534335,23,15,19
65,44.35189103,-89.25679694181818,3.3286740097865097,15.696180959808443,,,
66,44.51409555,-89.46053532333333,5.17620929575475,16.403651317408563,20,12,16
67,44.078854743783786,-89.5505010127027,3.996848463032951,16.670251112671473,11,,11
68,43.202538038,-90.19882436399999,4.142917814508724,17.708572234683245,1,1,1
69,44.20288915954546,-89.58688112772728,4.021040535557823,16.63523596323034,,,
70,44.00444615999999,-89.16354375333333,2.2736607142857137,18.122785025304673,,,
71,43.66690489250001,-89.51234446583334,1.3033003531556162,16.80636650980398,,,
72,43.82010969333333,-89.82704479222222,4.118868631368631,16.52220470072834,,,
73,44.080324927,-89.3488947,2.8554802836052837,17.500585226968095,,,
74,43.18481602384615,-90.10051420076924,3.9178052028380974,17.63568793938766,,,
75,43.98640111666667,-89.61471824407407,3.28119864304716,17.117789206227915,,,
76,43.86510814416667,-89.6016586075,2.1347125464404875,17.949531552409205,,,
77,44.38483080333333,-89.10124615333332,1.5861392773892762,16.9149890048552,,,
78,44.166331426129034,-89.54562046290322,3.6072868720971134,16.655877287395636,10,,10
79,43.992266428461534,-89.78629377230769,2.992641700230985,17.43656417054009,,,
80,44.24489428964286,-89.62172539000001,4.4497028509684755,16.20811132620895,,,
81,44.17617236555556,-89.2292586111111,1.8746785313451977,17.782951653577488,,,
82,44.23915087545454,-89.1434783009091,2.3844186542624044,16.45222612240204,,,
83,43.79747083416667,-89.70436146583334,2.536819045853137,16.827373236453226,,,
84,44.28730800066667,-89.22725249133333,2.9072063580950296,16.95372997986406,,,
85,44.01554797,-89.64220556529412,3.864402154218331,17.192889648296237,,,
86,44.04092816783784,-89.57753588675675,3.1156413993004186,17.045606986080365,,5,5
87,43.96229269571428,-89.28451108285715,2.070631281597191,17.234905369412772,,,
88,43.95059382241379,-89.63049810965518,2.936367566715128,16.770434518150513,,,
89,44.003478670999996,-89.923768764,2.783258798493174,16.721981868306674,,,
90,44.24123326,-89.55418343214286,3.6409543021081485,16.563531983242633,,,
91,44.12592839,-89.72391099222222,4.3907431249306255,16.39432206947215,,,
92,44.16957282171428,-89.41111225742857,3.710530248053833,15.22001799802698,,,
93,44.17074641307693,-89.64160849615384,3.436085781739628,17.033567274369446,,6,6
94,44.12122951913043,-89.61564063260869,4.275931599264933,16.828152819255827,9,,9
95,43.782538644375,-89.771488380625,2.0784644975560154,16.728863066250884,,,
96,44.64290175866667,-89.47418687466667,4.089167820924286,15.870279648143192,,,
97,43.945115533333336,-89.9048595725,2.827051036347911,17.333881870070208,,,
98,43.82016045,-89.42968543,1.81698717948718,16.0621348763729,,,
